1,75965
2,29986
3,65424
4,73673
5,63714
6,92701
7,17823
8,39815
9,76312
10,6646
11,25970
12,70028
13,83155
14,6083
15,97798
16,40693
17,52736
18,47738
19,88210
20,92071
21,2398
22,36547
23,73385
24,76794
25,8858
26,58188
27,54184
28,66863
29,99323
30,53314
31,56161
32,98734
33,60201
34,38358
35,24685
36,86692
37,72964
38,38832
39,33968
40,43957
41,84343
42,46077
43,96969
44,43671
45,65922
46,17849
47,57625
48,70552
49,20771
50,96941
51,65540
52,33958
53,60085
54,53412
55,75300
56,8394
57,8914
58,70128
59,27313
60,2375
61,28733
62,64893
63,67581
64,79667
65,34860
66,35950
67,54347
68,76068
69,99802
70,33334
71,79600
72,74013
73,28977
74,28776
75,13514
76,81278
77,58578
78,85293
79,78544
80,77074
81,19966
82,33077
83,27729
84,59313
85,2236
86,76878
87,63564
88,38371
89,70862
90,62845
91,28386
92,38458
93,97031
94,29615
95,45183
96,64673
97,68017
98,71516
99,15737
100,43965
101,92073
102,62345
103,27399
104,76095
105,16385
106,51320
107,82032
108,30198
109,57679
110,80807
111,24225
112,79879
113,2608
114,53491
115,66621
116,16473
117,26203
118,33669
119,8472
120,49375
121,77538
122,18451
123,16007
124,54166
125,72439
126,88045
127,80036
128,35937
129,56477
130,91926
131,68330
132,7565
133,70636
134,13439
135,69766
136,12153
137,1993
138,81036
139,9886
140,86440
141,60299
142,64496
143,14792
144,51605
145,56070
146,94606
147,25076
148,20686
149,61704
150,11894
151,27658
152,82517
153,28178
154,45011
155,23650
156,74517
157,19804
158,86888
159,47522
160,91029
161,38718
162,31319
163,67663
164,7012
165,97310
166,95613
167,49640
168,30396
169,28811
170,16713
171,89235
172,80519
173,41112
174,16689
175,65503
176,67146
177,40913
178,2446
179,84886
180,3339
181,46528
182,97484
183,40490
184,1854
185,11419
186,70450
187,52662
188,17621
189,95203
190,35715
191,89951
192,43886
193,51071
194,32536
195,4866
196,5738
197,12633
198,99764
199,37067
200,65048
201,35472
202,76732
203,28394
204,24690
205,65166
206,45686
207,31403
208,50521
209,14673
210,20124
211,63534
212,86548
213,77759
214,15108
215,36972
216,25831
217,22687
218,9852
219,1802
220,90102
221,45267
222,1384
223,34124
224,73544
225,34032
226,70248
227,63561
228,47012
229,76150
230,7878
231,5113
232,4588
233,87026
234,2116
235,80395
236,67865
237,27853
238,12260
239,43671
240,59939
241,35558
242,31222
243,61898
244,85227
245,89841
246,47609
247,29595
248,86702
249,76317
250,1716
251,88953
252,10230
253,95818
254,21394
255,42289
256,2822
257,62696
258,62582
259,31648
260,25020
261,4097
262,48689
263,88849
264,33848
265,8447
266,83166
267,96819
268,63777
269,84967
270,49134
271,93622
272,82944
273,85228
274,76064
275,33434
276,66847
277,99666
278,43375
279,34596
280,17748
281,75830
282,43792
283,4896
284,65909
285,68607
286,66156
287,43324
288,58922
289,62673
290,7781
291,23732
292,3846
293,44785
294,53031
295,27153
296,28217
297,37189
298,15703
299,76138
300,53989
301,45950
302,86417
303,24808
304,42136
305,90676
306,16858
307,1409
308,2664
309,22684
310,2262
311,88389
312,79260
313,62502
314,59849
315,65601
316,20385
317,42900
318,56444
319,68583
320,43016
321,5878
322,41923
323,35531
324,94894
325,15995
326,49836
327,51043
328,20167
329,45673
330,78306
331,44950
332,35143
333,66739
334,49443
335,83496
336,70881
337,16215
338,11486
339,55933
340,40030
341,77715
342,38895
343,67663
344,58116
345,72194
346,60424
347,10555
348,32256
349,23805
350,68706
351,22286
352,54580
353,97039
354,10646
355,78976
356,99627
357,99364
358,49679
359,4547
360,43591
361,69207
362,53618
363,48830
364,59792
365,20813
366,6807
367,87326
368,87804
369,23584
370,7301
371,28276
372,39377
373,2449
374,2574
375,48085
376,13643
377,81106
378,35102
379,61836
380,69327
381,24415
382,30569
383,40135
384,50818
385,31936
386,43864
387,77421
388,55741
389,99756
390,36039
391,75603
392,96309
393,67808
394,9347
395,23438
396,56714
397,40526
398,69440
399,91596
400,75425
401,93802
402,27343
403,95372
404,9246
405,53529
406,11399
407,1878
408,27629
409,87541
410,20189
411,24485
412,76500
413,2389
414,73250
415,88215
416,99771
417,20716
418,56508
419,47981
420,76346
421,96214
422,22874
423,34764
424,79369
425,24135
426,53621
427,55946
428,18945
429,87549
430,13300
431,6599
432,56047
433,72131
434,90135
435,91936
436,31635
437,90530
438,47460
439,15070
